Timestamp,Price
03.01.2017 21:00 - 03.01.2017 21:15,37.56
03.01.2017 21:15 - 03.01.2017 21:30,31.63
03.01.2017 21:30 - 03.01.2017 21:45,24
03.01.2017 21:45 - 03.01.2017 22:00,15.69
03.01.2017 22:00 - 03.01.2017 22:15,39.54
03.01.2017 22:15 - 03.01.2017 22:30,33.24
03.01.2017 22:30 - 03.01.2017 22:45,18.37
03.01.2017 22:45 - 03.01.2017 23:00,6.86
03.01.2017 23:00 - 03.01.2017 23:15,35.1
03.01.2017 23:15 - 03.01.2017 23:30,20.05
03.01.2017 23:30 - 03.01.2017 23:45,8.37
03.01.2017 23:45 - 04.01.2017 00:00,-1.39
04.01.2017 00:00 - 04.01.2017 00:15,23.2
04.01.2017 00:15 - 04.01.2017 00:30,5.1
04.01.2017 00:30 - 04.01.2017 00:45,8.12
04.01.2017 00:45 - 04.01.2017 01:00,-6.59
04.01.2017 01:00 - 04.01.2017 01:15,5.79
04.01.2017 01:15 - 04.01.2017 01:30,13.54
04.01.2017 01:30 - 04.01.2017 01:45,-1.11
04.01.2017 01:45 - 04.01.2017 02:00,-3.8
04.01.2017 02:00 - 04.01.2017 02:15,-0.62
04.01.2017 02:15 - 04.01.2017 02:30,-2.13
04.01.2017 02:30 - 04.01.2017 02:45,-3.2
04.01.2017 02:45 - 04.01.2017 03:00,-2.2
04.01.2017 03:00 - 04.01.2017 03:15,-1.21
04.01.2017 03:15 - 04.01.2017 03:30,-5.08
04.01.2017 03:30 - 04.01.2017 03:45,-0.3
04.01.2017 03:45 - 04.01.2017 04:00,1.7
04.01.2017 04:00 - 04.01.2017 04:15,-7.9
04.01.2017 04:15 - 04.01.2017 04:30,-5.6
04.01.2017 04:30 - 04.01.2017 04:45,11.92
04.01.2017 04:45 - 04.01.2017 05:00,21
04.01.2017 05:00 - 04.01.2017 05:15,-14.8
04.01.2017 05:15 - 04.01.2017 05:30,3.41
04.01.2017 05:30 - 04.01.2017 05:45,14.62
04.01.2017 05:45 - 04.01.2017 06:00,36.76
04.01.2017 06:00 - 04.01.2017 06:15,-7.13
04.01.2017 06:15 - 04.01.2017 06:30,16
04.01.2017 06:30 - 04.01.2017 06:45,35.2
04.01.2017 06:45 - 04.01.2017 07:00,46.66
04.01.2017 07:00 - 04.01.2017 07:15,16.6
04.01.2017 07:15 - 04.01.2017 07:30,28
04.01.2017 07:30 - 04.01.2017 07:45,36.66
04.01.2017 07:45 - 04.01.2017 08:00,43.54
04.01.2017 08:00 - 04.01.2017 08:15,33.6
04.01.2017 08:15 - 04.01.2017 08:30,34.68
04.01.2017 08:30 - 04.01.2017 08:45,31.2
04.01.2017 08:45 - 04.01.2017 09:00,33.6
04.01.2017 09:00 - 04.01.2017 09:15,37.3
04.01.2017 09:15 - 04.01.2017 09:30,34.08
04.01.2017 09:30 - 04.01.2017 09:45,33.06
04.01.2017 09:45 - 04.01.2017 10:00,31.5
04.01.2017 10:00 - 04.01.2017 10:15,35.4
04.01.2017 10:15 - 04.01.2017 10:30,35.83
04.01.2017 10:30 - 04.01.2017 10:45,33.5
04.01.2017 10:45 - 04.01.2017 11:00,33.52
04.01.2017 11:00 - 04.01.2017 11:15,33.92
04.01.2017 11:15 - 04.01.2017 11:30,37
04.01.2017 11:30 - 04.01.2017 11:45,34.48
04.01.2017 11:45 - 04.01.2017 12:00,30.6
04.01.2017 12:00 - 04.01.2017 12:15,36.32
04.01.2017 12:15 - 04.01.2017 12:30,31.34
04.01.2017 12:30 - 04.01.2017 12:45,32.82
04.01.2017 12:45 - 04.01.2017 13:00,33.92
04.01.2017 13:00 - 04.01.2017 13:15,32
04.01.2017 13:15 - 04.01.2017 13:30,32.86
04.01.2017 13:30 - 04.01.2017 13:45,33.99
04.01.2017 13:45 - 04.01.2017 14:00,34
04.01.2017 14:00 - 04.01.2017 14:15,32.2
04.01.2017 14:15 - 04.01.2017 14:30,32.42
04.01.2017 14:30 - 04.01.2017 14:45,37.12
04.01.2017 14:45 - 04.01.2017 15:00,41.99
04.01.2017 15:00 - 04.01.2017 15:15,31.3
04.01.2017 15:15 - 04.01.2017 15:30,33.5
04.01.2017 15:30 - 04.01.2017 15:45,40.59
04.01.2017 15:45 - 04.01.2017 16:00,46.53
04.01.2017 16:00 - 04.01.2017 16:15,37.2
04.01.2017 16:15 - 04.01.2017 16:30,49.73
04.01.2017 16:30 - 04.01.2017 16:45,56.8
04.01.2017 16:45 - 04.01.2017 17:00,66.35
04.01.2017 17:00 - 04.01.2017 17:15,44
04.01.2017 17:15 - 04.01.2017 17:30,53.78
04.01.2017 17:30 - 04.01.2017 17:45,59.54
04.01.2017 17:45 - 04.01.2017 18:00,62.9
04.01.2017 18:00 - 04.01.2017 18:15,46.7
04.01.2017 18:15 - 04.01.2017 18:30,50.83
04.01.2017 18:30 - 04.01.2017 18:45,53.33
04.01.2017 18:45 - 04.01.2017 19:00,55.2
04.01.2017 19:00 - 04.01.2017 19:15,54.43
04.01.2017 19:15 - 04.01.2017 19:30,51.21
04.01.2017 19:30 - 04.01.2017 19:45,52.51
04.01.2017 19:45 - 04.01.2017 20:00,43.44
04.01.2017 20:00 - 04.01.2017 20:15,56.57
04.01.2017 20:15 - 04.01.2017 20:30,43.35
04.01.2017 20:30 - 04.01.2017 20:45,39.66
04.01.2017 20:45 - 04.01.2017 21:00,28.4
04.01.2017 21:00 - 04.01.2017 21:15,47
04.01.2017 21:15 - 04.01.2017 21:30,42.48
04.01.2017 21:30 - 04.01.2017 21:45,36.01
04.01.2017 21:45 - 04.01.2017 22:00,30.52
04.01.2017 22:00 - 04.01.2017 22:15,45.9
04.01.2017 22:15 - 04.01.2017 22:30,40.28
04.01.2017 22:30 - 04.01.2017 22:45,36
04.01.2017 22:45 - 04.01.2017 23:00,27.78
04.01.2017 23:00 - 04.01.2017 23:15,44
04.01.2017 23:15 - 04.01.2017 23:30,39.66
04.01.2017 23:30 - 04.01.2017 23:45,31.63
04.01.2017 23:45 - 05.01.2017 00:00,18.71
05.01.2017 00:00 - 05.01.2017 00:15,44.12
05.01.2017 00:15 - 05.01.2017 00:30,36.68
05.01.2017 00:30 - 05.01.2017 00:45,30
05.01.2017 00:45 - 05.01.2017 01:00,24
05.01.2017 01:00 - 05.01.2017 01:15,44
05.01.2017 01:15 - 05.01.2017 01:30,32.41
05.01.2017 01:30 - 05.01.2017 01:45,28
05.01.2017 01:45 - 05.01.2017 02:00,26
05.01.2017 02:00 - 05.01.2017 02:15,32.48
05.01.2017 02:15 - 05.01.2017 02:30,31.56
